Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,Description of the sub-category ,Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,X,2025-07-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,Includes measures taken under X’s Illegal and Regulated behaviours policy.,"1,525",10,801,0,0,0,0,0,0,0,0,0,0,0,724,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes measures taken under X’s Illegal and Regulated behaviours policy.,"58,977",831,"34,512",0,0,0,0,0,0,0,0,0,0,0,"24,465",0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,"271,294","82,547","178,135",0,"27,868","64,893",0,0,0,0,0,0,0,0,398,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_COORDINATED_HARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,Includes measures taken under X’s Illegal and Regulated behaviours policy.,124,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes measures taken under X's Violent Content policy, as X is unable to map each action taken under this policy to the above subcategories.","271,170","82,547","178,135",0,"27,868","64,893",0,0,0,0,0,0,0,0,274,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,"284,571","78,331","44,666",0,0,"197,830",0,0,0,0,"41,941",0,0,0,134,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_ADULT_SEXUAL_MATERIAL,Includes measures taken under X’s Adult Content policy.,"242,562","37,963","44,604",0,0,"197,830",0,0,0,0,0,0,0,0,128,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_LANGUAGE_REQUIREMENTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,X,2025-07-01/2025-12-31,KEYWORD_NUDITY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
