Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,"3,910",0,"2,558",0,5,,209,0,"3,339",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,"1,649",0,585,0,3,,85,0,960,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,791,0,686,0,1,,29,0,705,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_PHISHING,,"4,875",0,"1,552",0,6,,254,0,"3,614",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,"1,126",0,699,0,5,,96,0,927,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Scams and/or fraud.,"5,949",0,"2,154",0,5,,286,0,"4,825",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,"1,937",0,"2,477",0,4,,239,0,"1,654",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,93,0,125,0,5,,6,0,79,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_SELF_MUTILATION,,472,0,505,0,3,,50,0,417,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_SUICIDE,,"1,083",0,"1,571",0,4,,158,0,907,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Self-harm.,289,0,276,0,7,,25,0,251,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,"2,940",3,"3,136",3,5,1,427,0,"2,258",3,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,"2,075",0,"2,425",0,4,,342,0,"1,560",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,431,3,356,3,4,1,35,0,354,3,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes notices reclassified from 'Goods/services not permitted to be offered on the platform', as well as notices where the reporter selected 'Other' or did not specify a sub-category under Unsafe, non-compliant or prohibited products.",434,0,355,0,6,,50,0,344,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,"32,407",38,"53,640",58,3,1,"10,845",22,"21,032",16,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_COORDINATED_HARM,,"3,016",0,"4,756",0,3,,980,0,"1,993",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,"24,054",29,"40,926",49,3,1,"8,535",20,"15,264",9,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,315,0,320,0,6,,53,0,232,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,196,0,214,0,9,,32,0,149,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,358,0,336,0,5,,91,0,214,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Violence.,"4,468",9,"7,088",9,4,3,"1,154",2,"3,180",7,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2025-07-01/2025-12-31,KEYWORD_OTHER,"Includes notices where the reporter's selected 'Scope of platform service' subcategories such as 'Geographical requirements', 'Language requirements', and 'Other', which cannot be mapped to any of the categories above.",750,0,"1,848",0,3,,302,0,433,0,,,,,,,,,,
