Applicability,Service,Reporting period,Category label,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,TikTok,2025-07-01/2025-12-31,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider violations of the following policies: Safety and Civility - Violent and Hateful Organizations and Individuals.",509151,419635,389189,,,,,,117671,,,,2291,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10b,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10c,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10d,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 10e,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,9197353,8510342,8971484,,,,,,178936,,,,46933,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11b,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11c,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11d,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11e,KEYWORD_PHISHING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11f,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 11g,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Integrity and Authenticity - Deceptive Behaviors and Fake Engagement, Integrity and Authenticity - Unoriginal Content and Intellectual Property Rights, Regulated Goods, Services, and Commercial Activities - Frauds and Scams, Misleading & False Content.",9197353,8510342,8971484,,,,,,178936,,,,46933,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12,STATEMENT_CATEGORY_SELF_HARM,,476736,327830,292450,,,,,,178794,,,,5492,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12a,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,"Under this category, we consider violations of the following policies: Mental and Behavioral Health - Disordered Eating, Risky Weight Management, and Body Image.",110367,88726,37524,,,,,,72613,,,,230,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12b,KEYWORD_SELF_MUTILATION,"Under this category, we consider violations of the following policies: Mental and Behavioral Health - Suicide and Self-Harm.",366369,239104,254926,,,,,,106181,,,,5262,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12c,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
