Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,TikTok,2025-07-01/2025-12-31,Category 12,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,,,,,7,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12a,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12b,KEYWORD_SELF_MUTILATION,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12c,KEYWORD_SUICIDE,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",TOTAL,,,,,7,,1078,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,TOTAL,,,,,76,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13a,KEYWORD_PROHIBITED_PRODUCTS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13b,KEYWORD_UNSAFE_PRODUCTS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Firearms Weapons Possession Explosives.",TOTAL,,,,,76,,110,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,0,0,,0,1607,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14a,KEYWORD_COORDINATED_HARM,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14b,KEYWORD_INCITEMENT_VIOLENCE_HATRED,"Under this category, we consider member state orders for: Threat To Kill.",TOTAL,0,0,,0,406,,128,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14c,KEYWORD_HUMAN_EXPLOITATION,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14d,KEYWORD_HUMAN_TRAFFICKING,"Under this category, we consider member state orders for: Human Exploitation Trafficking.",TOTAL,,,,,161,,103,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14e,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,TOTAL,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Domestic Violence.",TOTAL,,,,,1040,,123,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 16,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,"Under this category, we consider member state orders for: Other Illegal or Harmful Content.",TOTAL,782,4495,,0,,,,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
